answer,question,funFact
50%,What percentage of human DNA is shared with a banana?,Many foundational genes required for basic cellular replication are identical across all living things.
2014,In what year did Alan Eustace set the record for the highest skydive?,"Eustace jumped from 135,890 feet and broke the sound barrier with his body during freefall."
8,How many distinct blood types exist in the standard human blood group system?,"The main types are A, B, AB, and O each multiplied by either a positive or negative Rh factor."
35 million,How many times does the average human heart beat in a single year?,Over an average 80-year lifetime a heart beats nearly 3 billion total times.
32 feet [10 m],What is the length of the longest fingernail ever grown on a single human hand?,Shridhar Chillal of India grew his left-hand nails for 66 straight years before having them removed in 2018.
2003,In what year did researchers finish mapping the entire human genome?,The international Human Genome Project took roughly 13 years of intensive computing power to complete.
32,How many teeth does a healthy adult human have including wisdom teeth?,Children start with only 20 primary baby teeth which fall out to make room for the larger adult set.
24 minutes,What is the world record for the longest time a human has held their breath underwater?,Budimir Šobat of Croatia hyperventilated on pure oxygen for 30 minutes before submerging.
2015,In what year was the world record for the longest continuous hug set?,Two men in the UK hugged for 40 hours and 43 minutes to raise money for a mental health charity.
200 lbs [91 kg],How many pounds of pressure can a human jaw exert when biting down with the molars?,The masseter muscle in your jaw is technically the strongest muscle in the body based on its weight-to-force ratio.
10 pints [4.7 liters],How many pints of blood are in a standard adult human body?,When you donate blood they typically draw exactly 1 pint — roughly 10% of your body's total supply.
122 years,What is the age of the oldest verified human being in history Jeanne Calment?,"Calment credited her longevity to a diet rich in olive oil, port wine, and chocolate."
1998,In what year did the first successful human hand transplant take place?,The surgery was performed in Lyon France on a man who had lost his lower right arm in a circular saw accident.
5000,How many steps does the average person walk per day?,"The famous 10,000 steps rule was originally created as a marketing campaign for a Japanese pedometer in 1965."
27.8 mph [45 km/h],What is the maximum speed a human has ever sprinted in miles per hour?,This peak speed was clocked by Usain Bolt during his record-breaking 100-meter dash in Berlin in 2009.
33%,What percentage of our lives do humans spend asleep on average?,If you live to be 75 you will have spent roughly 25 full years asleep.
1959,In what year did a pilot survive falling from 47,000 feet without a parachute?,Marine pilot William Rankin ejected into a violent thunderstorm cloud which kept him aloft for 40 minutes before he landed.
2 million,How many red blood cells does the human body destroy and replace every single second?,Your bone marrow works continuously to manufacture new red blood cells to keep up with this incredible loss.
"1,350 lbs [612 kg]",What is the world record for the most weight ever lifted in a bench press?,Jimmy Kolb set this record in early 2023 while wearing a reinforced powerlifting shirt.
15,How many times does an average human blink their eyes per minute?,"Blinking drops significantly when you focus intently on a screen, which often leads to dry eyes."
1983,In what year was the record for the longest continuous Monopoly game set?,"A group of students played a single game for 1,680 hours — exactly 70 full days."
20 feet [6 m],How long is the human small intestine if stretched out straight in feet?,Its massive internal surface area is specifically designed to maximize nutrient absorption from food.
1940,In what year did the first McDonald's restaurant officially open?,"It was opened by brothers Richard and Maurice McDonald in San Bernardino, California, originally serving barbecue before streamlining into burgers."
1.2 gallons [5 liters],How many gallons of milk does it take to make just one pound of standard hard cheese?,"Because cheese is concentrated fat and protein, most of the water weight in milk (the whey) is discarded during the cheese-making process."
320°F [160°C],"What is the standard temperature, in degrees Fahrenheit, at which sugar begins to caramelize?","At this temperature, sucrose breaks down into volatile compounds, creating the complex, nutty flavor and amber color of caramel."
800,"How many kernels are on an average, standard ear of corn?","An ear of corn almost always has an even number of rows, usually averaging about 16 rows per ear."
1886,In what year was Coca-Cola first invented by pharmacist John Pemberton?,"It was originally sold as a patent medicine for five cents a glass at Jacob's Pharmacy in Atlanta, Georgia."
"49,000,000",How many tiny bubbles are estimated to be inside a single standard 750ml bottle of Champagne?,Physicists estimate that a glass of champagne emits about tens of thousands of bubbles per minute before going flat.
11%,What percentage of an egg’s total weight is made up by its shell?,"The shell is made almost entirely of calcium carbonate, and its strength depends largely on the hen's calcium-rich diet."
8 thousand SHU,How many thousands of Scoville Heat Units (SHU) does a standard Jalapeño pepper max out at?,"By comparison, a Carolina Reaper—one of the hottest peppers in the world—can hit over 2 million Scoville Heat Units."
